# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "gene" "-g" "gene_id" "-O" "-s" "2" "-J" "-R" "BAM" "-M" "--fraction" "-G" "data/00ref/Bpertusis_tohamaI.fna" "-T" "16" "-a" "data/00ref/Bpertusis_tohamaI.gtf" "-o" "results/05counts/read_counts" "results/03map_reads/JK-9534_2_10.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_11.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_12.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_13.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_14.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_15.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_16.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_17.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_18.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_19.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_1.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_20.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_21.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_22.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_23.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_24.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_25.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_26.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_27.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_28.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_29.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_2.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_30.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_31.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_32.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_33.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_34.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_35.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_36.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_3.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_4.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_5.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_6.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_7.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_8.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_9.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/03map_reads/JK-9534_2_10.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_11.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_12.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_13.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_14.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_15.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_16.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_17.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_18.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_19.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_1.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_20.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_21.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_22.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_23.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_24.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_25.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_26.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_27.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_28.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_29.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_2.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_30.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_31.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_32.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_33.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_34.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_35.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_36.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_3.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_4.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_5.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_6.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_7.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_8.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_9.Aligned.sortedByCoord.out.bam
BP_RS08045	NC_002929.2	1693317	1693703	+	387	135.00	129.05	225.21	161.24	99.49	94.21	79.27	46.00	127.71	112.03	89.74	124.77	94.69	184.97	142.46	70.85	168.02	128.59	146.78	120.83	105.78	102.50	58.57	142.90	113.18	107.87	151.09	114.11	108.37	54	120.43	113.83	110.15	142.47	187.05	130.75
BP_RS08050	NC_002929.2	1693719	1695809	+	2091	946.51	758.88	1310.81	1085.12	700.11	748.83	748.81	413.75	1332.24	877.30	473.92	865.75	673.24	1667.87	1428.43	862.35	1167.07	1208.16	1091.95	1124.54	1229.31	549.52	679.58	1267.11	956.22	956.66	1297.47	1060.26	1005.24	260.47	803.81	774.80	747.86	693.82	1041.64	822.85
BP_RS08055	NC_002929.2	1695861	1696814	+	954	308.46	254.48	451.60	311.20	220.27	221.11	274.66	207.03	485.02	286.65	144.77	274.09	211.84	630.13	515.04	361.05	379.84	429.20	373.99	400.80	443.33	184.80	274.69	420.85	288.70	278.93	527.18	413.97	347.50	71.39	244.01	253.10	248.62	209.31	308.95	224.02
BP_RS08060	NC_002929.2	1696829	1697755	-	927	43.04	37.33	53.31	59.06	47.74	32.28	28.41	13.85	40.88	56.04	39.46	41.18	23.30	53.23	48.25	24.42	71.55	73.08	50.72	55.97	54.35	46.94	31.47	65.59	53.28	62.16	45.20	51.48	32.44	9.00	37.45	28.75	23.96	35.68	69.52	39.34
BP_RS08065	NC_002929.2	1697854	1699380	+	1527	38.51	28.40	72.01	62.88	28.06	25.56	44.94	22.98	54.51	39.21	21.05	35.92	42.06	80.05	60.19	44.78	65.24	57.21	40.62	65.62	60.19	30.12	38.23	39.80	38.66	28.25	72.94	58.70	52.30	8.32	48.01	34.73	45.58	28.07	48.34	28.02
BP_RS08070	NC_002929.2	1699479	1699979	+	501	454.56	368.04	632.27	279.65	241.61	233.70	273.19	204.61	439.10	252.84	222.00	245.79	198.34	551.17	438.92	347.63	443.60	523.36	400.59	395.55	382.07	228.77	278.15	308.16	365.47	345.21	475.31	392.95	331.73	113.62	392.65	334.75	347.12	231.63	520.24	216.17
BP_RS08075	NC_002929.2	1700303	1702288	-	1986	4669.78	4501.01	8099.91	329.00	179.20	188.34	2615.04	1923.25	4074.83	253.11	102.85	237.99	165.94	5402.98	4286.07	2878.06	254.37	215.85	167.03	3870.02	4048.00	90.59	2491.02	228.32	168.58	124.90	4549.77	4084.46	3324.11	58.76	5071.45	3742.75	3647.67	160.84	215.37	143.25
BP_RS08080	NC_002929.2	1702426	1704510	-	2085	5579.16	5182.40	9449.18	673.54	379.91	321.13	4071.81	3009.60	5956.31	550.06	173.16	470.37	314.77	7478.24	6245.36	4578.97	616.72	603.98	375.76	5583.49	5779.42	172.92	3198.80	594.84	404.59	247.65	5846.68	5318.90	4678.44	89.87	5526.98	4316.47	4025.80	231.77	307.21	204.94
BP_RS08085	NC_002929.2	1704537	1705418	-	882	6341.39	6872.10	11344.67	526.88	265.48	230.27	5460.42	6509.87	8042.33	452.83	128.24	305.54	310.85	10477.88	8123.41	7601.82	390.81	377.02	212.79	8581.47	8804.04	139.08	5529.39	258.04	197.01	177.29	9030.87	8339.31	6111.87	65.61	7664.40	5316.51	5150.48	174.86	286.64	126.94
BP_RS19535	NC_002929.2	1705686	1705853	-	168	109.50	110.62	227.83	34.31	31.34	24.92	95.62	67.72	155.61	24.74	13.83	17.52	31.46	187.44	134.70	85.65	43.81	20.81	26.27	139.43	144.87	10.83	78.75	40.45	19.65	16.13	143.92	118.43	107.96	6	144.37	110.31	102.92	22.50	25.33	19
BP_RS08090	NC_002929.2	1706178	1706948	+	771	1586.57	1803.83	2877.24	73.92	30.28	23.40	1270.14	770.12	1568.50	54.87	12.80	27.86	34.37	1996.82	1974.41	1064.45	38.29	30.57	22.25	1784.61	1677.68	11.89	924.75	38.81	27.27	15.86	1580.06	1453.02	1175.60	6.60	2040.87	1296.24	1215.23	18.01	14.59	16.71
BP_RS08095	NC_002929.2	1706948	1707694	+	747	734.69	722.60	1329.63	25.57	8.47	8.44	564.79	377.37	586.38	12.81	2.92	10.69	6.82	891.11	815.30	528.19	10.80	14.58	9.68	813.75	799.81	4.25	392.30	16.16	23.72	8.57	700.80	672.74	606.97	1.13	974.44	602.55	538.70	6.02	17.47	7.31
BP_RS08100	NC_002929.2	1707736	1708905	+	1170	2576.94	2640.82	3886.55	46.32	27.83	27.29	1939.74	1131.76	2559.74	36.86	11.04	21.15	32.12	2857.76	3198.11	1685.33	48.98	31.09	18.15	2615.41	2961.97	12.66	1484.35	48.71	41.18	14.23	2489.48	2351.22	2069.23	4.45	2600.01	1671.42	1722.65	15.49	31.70	17.91
BP_RS08105	NC_002929.2	1708937	1711021	+	2085	2537.07	2612.94	4174.85	169.10	89.71	91.24	1764.44	1135.14	2430.88	139.21	58.91	133.03	70.53	3152.15	2879.77	1691.18	163.42	142.71	84.25	2729.10	2886.69	52.53	1415.80	139.05	98.94	80.91	2423.93	2132.58	1947.36	22.76	2930.45	2069.30	1896.17	76.91	106.67	82.25
BP_RS08110	NC_002929.2	1711018	1711908	+	891	1040.30	916.55	1610.01	18.73	14.76	5.90	637.29	566.06	936.22	12.53	3.06	19.79	15.12	1025.47	1011.43	771.04	14.52	22.50	9.83	861.72	951.21	8.09	487.73	20.39	8.27	12.72	804.15	766.37	667.24	2.72	1033.11	794.59	708.74	8.91	14.73	9.18
BP_RS08115	NC_002929.2	1711905	1713002	+	1098	825.60	903.32	1398.29	30.25	19.73	16.37	499.44	431.79	680.89	18.99	7.55	13.86	14.22	882.95	741.33	466.06	18.35	16.66	8.56	701.25	823.38	7.84	397.18	22.91	11.87	8.04	675.09	688.28	494.36	2.90	1078.02	680.10	655.09	19.03	20.27	14.94
BP_RS08120	NC_002929.2	1713025	1714314	+	1290	1684.96	1722.55	2855.75	306.95	191.33	184.75	1086.98	871.64	1395.06	244.35	164.50	223.46	216.19	1810.18	1576.92	1169.35	317.53	308.94	278.86	1457.21	1573.96	190.79	855.47	295.53	228.37	190.90	1554.44	1420.92	1126.21	92.47	2019.94	1427.14	1303.58	202.91	308.88	217.76
BP_RS08125	NC_002929.2	1714326	1715351	+	1026	1509.26	1481.51	2360.70	377.38	237.13	277.04	1054.24	763.46	1501.93	350.19	190.83	342.25	325.52	1835.61	1792.82	1101.83	436.92	469.75	352.10	1573.91	1627.64	230.37	865.83	413.85	347.36	298.15	1438.44	1236.90	1120.40	101.33	1668.90	1219.29	1158.65	275.25	378.42	288.78
BP_RS08130	NC_002929.2	1715348	1717405	+	2058	1698.94	1477.63	2676.99	131.35	76.59	50.80	1180.85	821.68	1599.87	95.21	36.57	72.47	73.01	2068.20	1845.71	1232.20	112.68	119.16	81.68	1656.06	1780.03	56.11	855.51	89.37	91.00	64.23	1594.49	1391.19	1161.83	17.60	1885.71	1355.04	1235.37	49.35	76.94	54.52
BP_RS08135	NC_002929.2	1717419	1718594	+	1176	1143.73	1055.94	2067.85	40.54	22.66	19.82	973.80	428.51	1087.58	34.78	11.98	30.19	22.71	1504.81	1393.16	678.38	30.81	32.41	33.77	1159.29	1361.59	13.56	598.82	39.74	33.54	8.02	1139.06	904.18	889.63	4.50	1329.92	946.21	811.97	21.56	28.96	24.38
BP_RS08140	NC_002929.2	1718676	1719626	+	951	0.03	1.29	0.10	0.47	0.32	1.38	2.18	1.10	0.51	1.43	0.27	1.07	0.21	0.67	1.10	0.10	0.10	0.40	1.12	2.64	3.36	0.05	0.50	0.73	0.33	0.24	2.24	0.33	1.28	0	3.96	0.52	0.34	0.54	0.46	0
BP_RS08145	NC_002929.2	1719606	1720100	-	495	4.64	10.82	5.09	8.85	5.03	4.73	5.79	4.74	5.08	3.93	1.03	3.70	4.77	12.28	13.93	6.83	5.68	8.77	5.68	7.03	9.73	3.36	4.05	6.01	12.41	2.47	11.12	4.80	6.81	0.39	5.35	6.86	3.96	6.83	3.90	3.62
BP_RS08150	NC_002929.2	1720179	1721804	-	1626	90.11	74.31	120.80	140.38	77.71	127.21	123.50	85.77	115.57	124.47	50.49	113.65	53.59	162.36	168.15	100.40	149.05	174.45	92.72	130.78	124.90	49.60	75.71	132.42	94.49	80.17	144.01	172.46	114.37	14.67	69.76	67.83	66.77	70.28	133.04	75.25
BP_RS08155	NC_002929.2	1721854	1722888	-	1035	4.38	6.54	9.23	5.20	8.69	7.66	7.86	4.67	8.67	3.85	4.87	3.66	1.62	10.81	10.55	3.66	8.50	5.30	8.27	7.94	12.96	6.79	5.49	11.96	2.50	4.78	11.83	12.64	5.58	1.33	3.86	2.18	5.88	5.18	5.63	2.92
BP_RS08160	NC_002929.2	1722891	1724237	-	1347	14.79	8.57	20.22	16.81	9.94	14.75	17.72	4.34	17.79	16.30	4.69	11.69	3.99	14.87	20.44	4.79	16.99	13.29	9.14	14.11	18.40	8.02	9.78	15.13	11.51	8.12	18.83	12.78	14.13	1.97	10.50	7.04	10.60	10.07	13.69	11.14
BP_RS08165	NC_002929.2	1724234	1725748	-	1515	11.88	14.30	23.71	20.36	13.10	6.87	18.97	4.27	19.21	14.98	4.36	11.42	13.70	27.09	27.43	11.48	13.92	24.15	12.98	14.58	22.24	1.24	11.83	19.47	21.22	7.32	30.88	14.88	13.02	1.51	11.35	9.03	9.04	7.47	9.31	5.96
BP_RS08170	NC_002929.2	1725739	1726749	-	1011	5.32	3.91	13.71	5.02	7.19	12.83	6.07	0.90	8.11	6.14	4.44	2.57	8.80	12.71	9.38	5.32	9.07	9.66	9.01	11.60	15.31	4.81	5.64	7.82	12.75	6.98	11.27	9.06	15.46	1.51	3.85	2.51	5.56	6.45	6.58	4.97
BP_RS19825	NC_002929.2	1726736	1727226	-	491	0.66	1.87	2.73	4.83	1.37	1.68	3.74	1.53	1.73	1.87	1.78	1.17	3.98	1.33	1.61	1.29	2.92	1.68	0.92	3.92	1.70	0.75	0.44	1.85	2.28	1.59	4.15	3.62	4.02	0.50	3.74	0.35	2.05	3.37	0.53	1
BP_RS08175	NC_002929.2	1727223	1728164	-	942	9.67	11.41	23.39	18.35	7.78	9.60	10.41	3.42	10.36	11.27	2.77	10.60	6.47	14.96	15.23	6.57	16.69	12.97	8.41	13.82	17.79	6.76	6.49	8.31	9.48	6.80	14.35	13.02	11.77	1.35	13.63	7.93	15.22	11.45	5.66	6.97
BP_RS08180	NC_002929.2	1728173	1729141	-	969	17.02	10.83	18.95	11.38	7.41	8.66	9.92	2.94	10.73	9.58	2.17	6.62	13.43	14.35	17.82	11.13	12.11	11.20	8.79	12.75	18.80	2.86	8.77	12.95	6.91	3.49	15.14	9.78	12.23	0.80	10.03	7.15	8.84	4.25	14.90	6.67
BP_RS08185	NC_002929.2	1729197	1730337	-	1141	230.24	155.86	261.19	166.05	139.12	162.79	170.41	115.32	307.76	172.91	96.55	149.29	100.80	382.47	277.69	187.41	249.61	243.18	236.79	265.69	268.75	124.34	115.53	182.35	212.97	169.47	306.81	204.37	217.01	48.53	192.33	217.39	196.99	133.59	227.12	174.99
BP_RS08190	NC_002929.2	1730681	1731649	+	969	260.66	203.25	346.37	151.36	139.89	136.60	163.34	106.97	245.90	128.04	122.06	127.94	129.11	350.95	229.71	218.98	212.21	170.93	229.58	240.92	248.12	159.92	155.66	247.81	168.26	173.98	269.88	216.91	205.93	73.70	191.44	216.00	190.44	149.33	256.87	155.88
BP_RS08195	NC_002929.2	1731827	1732816	+	990	91.59	84.81	156.92	154.47	69.49	71.22	84.36	45.18	88.03	96.15	49.98	100.11	64.50	167.76	153.78	73.02	107.19	128.84	105.18	120.14	123.10	59.43	66.57	111.03	97.90	79.67	135.58	126.87	86.45	20.75	81.33	84.03	59.60	83.86	69.58	76.98
BP_RS08200	NC_002929.2	1732863	1733621	+	759	37.36	45.57	69.66	84.53	51.85	51.02	33.98	35.26	50.91	52.75	26.06	59.32	35.10	92.25	62.03	33.84	71.20	47.12	56.53	55.32	74.70	28.91	35.79	64.45	40.82	36.03	54.30	58.32	50.23	18.56	68.88	34.23	48.37	45.82	28.80	39.56
BP_RS08205	NC_002929.2	1733811	1734548	+	738	99.00	102.57	107.91	134.12	45.89	65.44	127.30	69.45	175.59	76.61	39.85	51.06	49.49	238.79	205.31	128.83	107.29	100.34	75.06	109.79	188.23	59.60	94.60	116.20	57.71	74.89	182.24	161.49	138.22	13.12	90.80	90.34	87.43	45.77	58.66	58.77
BP_RS08210	NC_002929.2	1734647	1735597	+	951	6.18	6.62	6.05	5.13	1.81	6.27	5.17	1.66	7.53	5.92	3.07	2.28	2.33	5.91	2.91	5.66	4.16	8.99	6.50	5.34	4.31	3.83	3.40	11.65	3.27	3.62	9.47	7.45	5.64	0.50	2.20	6.46	5.07	5.33	4.44	6.88
BP_RS08220	NC_002929.2	1735782	1736564	+	783	37.88	29.43	42.00	53.84	18.53	12.20	29.74	15.11	26.71	27.63	18.35	30.39	27.54	60.89	46.03	24.04	46.97	40.95	30.78	41.54	43.21	13.51	27.19	47.66	27.11	21.02	52.21	35.67	38.31	6.82	34.59	27.10	35.26	8.92	33.23	24.64
BP_RS08225	NC_002929.2	1736558	1737259	+	702	17.65	19.83	21.46	16.03	7.77	15.68	11.60	7.74	17.05	5.84	5.79	8.48	7.64	21.78	22.69	10.92	18.49	12.16	20.77	15.16	14.90	8.17	10.09	10.31	14.80	10.31	17.04	14.17	11.56	8.22	23.66	10.90	18.92	6.67	9.98	12.67
BP_RS08230	NC_002929.2	1737499	1738101	+	603	263.95	200.35	301.94	281.35	168.59	183.09	166.44	143.31	312.51	222.76	175.27	194.27	186.13	322.33	227.70	171.21	312.04	243.97	266.25	276.49	276.58	179.49	177.10	267.97	179.58	220.02	334.54	261.74	218.34	91.25	282.02	206.45	194.95	213.89	274.42	268.66
BP_RS08235	NC_002929.2	1738077	1738991	-	915	9.51	14.10	21.02	47.30	37.68	38.63	14.99	5.98	11.95	43.27	35.12	38.99	58.29	20.73	22.92	5.27	66.61	60.64	55.85	12.93	18.89	37.87	7.20	50.67	49.56	51.48	23.53	9.84	15.58	15.44	15.86	8.86	13.29	47.28	57.56	57.53
BP_RS08240	NC_002929.2	1739428	1740378	+	951	2.18	0.32	8.60	4.10	1.25	1.20	0.46	0.10	1.56	2.15	1.52	0.37	0.46	3.42	4.27	1.10	2.10	3.82	1.14	0.10	4.05	0.60	0.17	1.60	4.17	1	1.24	0.16	5.31	0	1.95	1.25	2.70	1.35	5.20	1.11
BP_RS08245	NC_002929.2	1740375	1741931	-	1557	25.56	24.79	34.85	36.47	17.27	19.40	30.17	9.33	43.21	18.08	14.92	16.77	13.54	38.73	47.39	27.08	26.36	21.36	22.84	35.15	46.01	7.49	21.22	21.21	21.20	16.78	31.32	35.02	23.23	3.22	19.80	17.96	15.64	12.73	15.82	12.79
BP_RS08250	NC_002929.2	1741924	1742697	-	774	276.91	243.26	503.11	624.67	284.27	312.74	389.67	27.50	384.34	448.57	111.32	411.19	222.47	637.94	505.89	95.72	602.37	456.28	348.08	526.25	544.98	87.83	217.63	560.11	327.38	207.74	596.51	334.49	470.20	36.06	222.09	166.04	188.86	221.33	182.59	194.06
BP_RS08255	NC_002929.2	1742756	1743706	-	951	30.01	25.91	30.33	68.86	23.37	24.17	32.53	12.30	34.91	33.73	27.35	19.70	19.88	37.89	42.79	15.49	37.11	23.17	24.64	42.98	39.52	20.27	15.88	25.75	26.41	20.85	33.90	21.02	31.19	10.92	26.58	25.49	27.56	32.55	36.43	32.94
BP_RS08260	NC_002929.2	1743811	1744758	+	948	20.47	24.78	25.53	21.60	11.57	16.23	17.83	11.00	34.66	25.61	13.43	19.18	7.64	27.27	33.71	18.82	24.68	42.11	28.63	25.11	27.84	14.00	17.72	22.91	33.35	30.71	31.65	22.01	24.96	6.17	32.44	19.22	20.29	15.55	33.94	13.99
BP_RS08265	NC_002929.2	1744812	1746626	-	1815	113.43	86.18	111.82	95.53	60.88	71.67	85.46	66.07	155.63	65.12	48.73	63.18	68.78	159.86	114.10	111.50	83.56	97.11	94.53	137.72	126.90	56.64	66.09	91.38	72.93	87.63	137.17	87.64	92.30	20.06	82.21	68.02	82.03	63.75	99.86	72.58
BP_RS08270	NC_002929.2	1746619	1747293	-	675	59.39	51.74	80.42	122.80	62.22	71.35	56.94	47.51	118.79	80.94	29.53	76.74	73.03	123.99	111.47	86.63	90.35	120.88	102.19	80.23	103.65	47.73	73.92	111.75	86.22	75.29	95.44	96.81	75.11	12.40	44.21	36.15	41.20	51.40	105.80	50.04
BP_RS08275	NC_002929.2	1747423	1750497	+	3075	51.84	46.86	88.65	72.62	70.77	72.97	75.14	27.02	67.63	68.05	30.02	65.28	56.98	82.73	82.97	24.19	89.38	83.17	67.71	87.89	66.71	36.13	53.99	92.96	64.03	53.74	84.29	66.21	61.33	12.70	52.33	50.29	46.98	52.26	61.29	50.58
BP_RS08280	NC_002929.2	1750511	1750810	-	300	428.83	438.31	557.80	310.90	251.82	250.20	346.63	339.40	632.56	314.25	223.94	278.19	196.54	709.16	564.59	430.49	479.92	451.35	413.47	531.99	515.00	256.23	346.30	334.44	423.77	352.95	725.98	503.00	452.22	120.57	397.10	418.51	443.56	269.45	439.96	302.74
BP_RS08285	NC_002929.2	1750813	1751025	-	213	105.99	101.65	129.40	83.61	88.77	84.42	103.69	72.20	134.90	76.20	64.39	80.76	69.82	153.73	117.10	85.76	136.89	140.80	117.21	115.71	108.72	71.50	88.88	94.75	122.15	101.78	148.00	109.35	106.68	26.52	112.83	108.38	119.29	63.69	147.86	60.70
BP_RS08290	NC_002929.2	1751125	1751748	-	624	184.67	138.30	192.02	113.35	107.51	90.04	150.84	73.23	256.12	95.01	69.00	81.49	82.58	319.82	226.54	151.35	158.03	155.72	160.02	194.51	222.03	95.33	119.74	103.39	120.27	102.27	300.49	197.39	195.64	40.79	148.62	162.55	154.46	99.26	126.80	99.49
BP_RS08295	NC_002929.2	1751992	1752861	+	870	18.23	21.46	36.52	52.94	22.41	26.34	37.38	12.29	29.47	40.10	11.29	31.61	18.05	51.02	41.63	12.74	36.79	33.89	37.90	29.78	39.77	17.38	20.68	35.32	33.98	24.66	47.40	37.12	27.07	7.06	33.23	12.14	27.69	11.03	18.77	21.21
BP_RS08300	NC_002929.2	1752839	1753783	-	945	55.94	65.64	85.17	85.21	44.42	63.86	65.54	37.39	117.17	81.11	40.05	74.85	51.83	131.24	91.76	66.65	102.44	117.47	107.15	79.82	73.36	48.01	46.38	81.74	63.80	60.67	116.84	88.81	72.45	16.90	81.83	50.82	65.68	41.49	74.76	57.60
BP_RS08305	NC_002929.2	1753869	1754891	-	1023	87.61	66.04	128.61	109.83	71.55	86.37	95.89	34.41	96.54	96.21	42.69	82.47	87.64	149.20	118.90	49.86	90.69	101.20	102.16	110.27	110.41	42.60	57.03	100.46	75.53	84.87	100.67	101.29	94.71	25.98	79.42	73.36	67.44	52.17	105.00	59.35
BP_RS08310	NC_002929.2	1754908	1755681	-	774	11.93	18.76	18.46	14.53	7.58	5.10	7.24	7.10	18.01	10.31	3.45	11.94	5.63	18.25	9.89	4.25	13.72	16.74	17.88	18.45	12.78	4.65	6.29	11.06	11.33	12.27	13.85	15.25	10.69	2.33	13.83	7.73	13.84	10.17	9.50	8.35
BP_RS08315	NC_002929.2	1755678	1756874	-	1197	22.12	10.83	32.49	39.89	20.00	21.31	23.47	8.38	25.90	31.57	9.12	23.47	27.38	44.78	34.01	13.53	36.88	39.83	37.01	35.21	42.13	15.75	14.14	26.69	22.49	20.78	43.20	21.03	16.64	11.14	25.44	12.95	23.47	20.38	26.40	21.42
BP_RS08320	NC_002929.2	1756905	1757855	-	951	13.61	13.92	24.66	13.71	7.15	11.09	17.05	18.43	21.56	16.39	7.64	17.22	14.45	27.52	30.30	11.05	26.47	21.46	19.59	26.58	19.41	11.19	10.61	33.79	27.86	14.88	17.35	16.58	9.71	4	15.75	13.05	15.73	22.97	22.84	14.07
BP_RS08325	NC_002929.2	1758086	1758766	+	681	24.51	26.15	55.33	42.59	32.22	28.75	30.38	11.20	41.53	48.85	29.31	43.81	17.92	63.52	51.68	28.40	52.00	47.44	33.49	37.77	59.29	17.80	26.01	48.90	38.79	27.27	71.34	43.65	47.07	4.76	34.72	25.30	26.34	23.46	28.60	22.03
BP_RS08330	NC_002929.2	1758831	1759586	+	756	25.48	20.36	38.77	34.61	27.75	25.01	27.31	23.70	39.27	37.40	20.92	22.74	17.76	36.45	40.42	22.86	35.46	36.77	19.30	36.32	33.97	13.10	21.79	29.52	18.41	14.13	39.63	33.18	33.35	6.41	19.94	19.18	17.34	25.10	28.34	25.77
BP_RS08335	NC_002929.2	1759638	1760630	+	993	14.19	19.77	21.30	22.73	15.80	20.27	27.96	2.90	24.47	12.40	5.77	14.41	15.08	28.50	27.82	13.64	19.94	22.87	21.49	20.84	38.57	9.69	14.55	13.12	18.81	6.56	28.30	23.40	14.02	7.19	13.05	15.94	15.44	11.48	19.69	12.22
BP_RS08340	NC_002929.2	1760640	1761593	-	954	47.06	30.85	58.22	43.42	41.32	31.60	48.25	13.45	41.93	24.09	17.97	30.44	33.63	66.08	54.23	23.25	40.66	45.66	35.56	39.13	51.64	20.29	33.55	37.34	26.61	20.93	53.48	46.29	36.99	11.48	32.58	31.22	26.70	16.91	35.33	25.23
BP_RS08345	NC_002929.2	1761709	1762671	+	963	17.29	15.05	22.04	21.83	16.33	19.83	12.31	4.48	18.17	22.13	7.02	21.80	23.31	21.14	11.89	16.30	28.15	19.10	14.08	11.67	19.92	15.94	12.53	15.48	10.49	18.83	22.66	18.20	12.80	12.03	12.63	14.29	8.74	10.33	20.26	9.67
BP_RS08350	NC_002929.2	1762686	1764076	+	1391	33.89	25.28	50.45	65.94	45.37	46.54	44.29	5.24	48.10	56.60	18.91	44.45	25.26	61.90	38.30	19.78	50.95	62.67	32.92	45.10	32.38	10.98	20.11	49.91	51.04	32.41	32.05	30.65	36.74	10.53	25.99	32.26	16.06	38.08	39.43	24.78
